timestamp,value
2023-04-11,3.9450851063829786
2023-04-12,3.855744680851064
2023-04-13,3.8651489361702134
2023-04-14,4.010914893617021
2023-04-15,4.025021276595745
2023-04-16,4.025021276595744
2023-04-17,2.083042553191489
2023-04-18,2.040723404255319
2023-04-19,2.0971489361702127
2023-04-20,2.03131914893617
2023-04-21,2.068936170212766
2023-04-22,2.0689361702127655
2023-04-23,2.059531914893617
2023-04-24,2.068936170212766
2023-04-25,2.0407234042553193
2023-04-26,2.059531914893617
2023-04-27,2.059531914893617
2023-04-28,2.068936170212766
2023-04-29,2.0548297872340426
2023-04-30,2.0313191489361704
2023-05-01,2.068936170212766
2023-05-02,2.068936170212766
2023-05-03,2.059531914893617
2023-05-04,2.059531914893617
2023-05-05,2.059531914893617
2023-05-06,2.059531914893617
2023-05-07,2.068936170212766
2023-05-08,2.059531914893617
2023-05-09,2.059531914893617
2023-05-10,2.068936170212766
2023-05-11,2.068936170212766
2023-05-12,2.068936170212766
2023-05-13,2.068936170212766
2023-05-14,2.068936170212766
2023-05-15,2.068936170212766
2023-05-16,2.059531914893617
2023-05-17,2.0642340425531915
2023-05-18,2.059531914893617
2023-05-19,2.0407234042553193
2023-05-20,2.0642340425531915
2023-05-21,2.068936170212766
2023-05-22,2.059531914893617
2023-05-23,2.0642340425531915
2023-05-24,2.068936170212766
2023-05-25,2.0407234042553193
2023-05-26,2.0454255319148937
2023-05-27,2.059531914893617
2023-05-28,2.068936170212766
2023-05-29,2.0642340425531915
2023-05-30,2.059531914893617
2023-05-31,2.0313191489361704
2023-06-01,2.0454255319148933
2023-06-02,2.050127659574468
2023-06-03,2.059531914893617
2023-06-04,1.9889999999999999
2023-06-05,1.9748936170212763
2023-06-06,1.9748936170212763
2023-06-07,1.9889999999999999
2023-06-08,1.9937021276595746
2023-06-09,1.9937021276595746
2023-06-10,2.0642340425531915
2023-06-11,2.0125106382978726
2023-06-12,2.059531914893617
2023-06-13,2.059531914893617
2023-06-14,2.050127659574468
2023-06-15,2.068936170212766
2023-06-16,1.9795957446808508
2023-06-17,1.9937021276595746
2023-06-18,1.9842978723404252
2023-06-19,1.9842978723404254
2023-06-20,1.9748936170212763
2023-06-21,1.9937021276595746
2023-06-22,1.899659574468085
2023-06-23,1.909063829787234
2023-06-24,1.909063829787234
2023-06-25,1.918468085106383
2023-06-26,1.918468085106383
2023-06-27,1.918468085106383
2023-06-28,1.9795957446808508
2023-06-29,1.9937021276595746
2023-06-30,1.9560851063829785
2023-07-01,1.9889999999999999
2023-07-02,1.9842978723404252
2023-07-03,1.9842978723404252
2023-07-04,2.0642340425531915
2023-07-05,2.0407234042553193
2023-07-06,2.068936170212766
2023-07-07,2.0642340425531915
2023-07-08,2.068936170212766
2023-07-09,2.059531914893617
2023-07-10,2.059531914893617
2023-07-11,2.068936170212766
2023-07-12,2.0407234042553193
2023-07-13,2.068936170212766
2023-07-14,2.0407234042553193
2023-07-15,2.068936170212766
2023-07-16,1.9842978723404254
2023-07-17,1.9748936170212763
2023-07-18,1.9654893617021278
2023-07-19,1.9889999999999999
2023-07-20,1.9842978723404252
2023-07-21,1.9937021276595746
2023-07-22,1.8338297872340428
2023-07-23,1.8432340425531912
2023-07-24,1.8432340425531912
2023-07-25,1.8338297872340428
2023-07-26,1.8432340425531912
2023-07-27,1.8338297872340428
2023-07-28,1.7632978723404256
2023-07-29,1.749191489361702
2023-07-30,1.7585957446808511
2023-07-31,1.758595744680851
2023-08-01,1.7585957446808511
2023-08-02,1.7209787234042553
2023-08-03,1.688063829787234
2023-08-04,1.6833617021276595
2023-08-05,1.6739574468085106
2023-08-06,1.678659574468085
2023-08-07,1.6927659574468084
2023-08-08,1.6833617021276595
2023-08-09,1.6034255319148936
2023-08-10,1.617531914893617
2023-08-11,1.5987234042553191
2023-08-12,1.617531914893617
2023-08-13,1.58931914893617
2023-08-14,1.5987234042553191
2023-08-15,1.608127659574468
2023-08-16,1.5987234042553191
2023-08-17,1.617531914893617
2023-08-18,1.6034255319148936
2023-08-19,1.608127659574468
2023-08-20,1.5799148936170213
2023-08-21,1.6034255319148936
2023-08-22,1.617531914893617
2023-08-23,1.617531914893617
2023-08-24,1.6034255319148936
2023-08-25,1.617531914893617
2023-08-26,1.5987234042553191
2023-08-27,1.5046808510638296
2023-08-28,1.5328936170212766
2023-08-29,1.5422978723404253
2023-08-30,1.509382978723404
2023-08-31,1.5234893617021277
2023-09-01,1.5328936170212766
2023-09-02,1.528191489361702
2023-09-03,1.5328936170212766
2023-09-04,1.5328936170212766
2023-09-05,1.5422978723404253
2023-09-06,1.5328936170212766
2023-09-07,1.5046808510638296
2023-09-08,1.5234893617021277
2023-09-09,1.5328936170212766
2023-09-10,1.5234893617021277
2023-09-11,1.528191489361702
2023-09-12,1.5140851063829786
2023-09-13,1.5422978723404253
2023-09-14,1.4388510638297873
2023-09-15,1.467063829787234
2023-09-16,1.457659574468085
2023-09-17,1.4576595744680851
2023-09-18,1.467063829787234
2023-09-19,1.457659574468085
2023-09-20,1.4576595744680851
2023-09-21,1.4388510638297871
2023-09-22,1.467063829787234
2023-09-23,1.4576595744680851
2023-09-24,1.467063829787234
2023-09-25,1.4388510638297871
2023-09-26,1.4482553191489362
2023-09-27,1.4294468085106382
2023-09-28,1.467063829787234
2023-09-29,1.457659574468085
2023-09-30,1.4388510638297871
2023-10-01,1.457659574468085
2023-10-02,1.457659574468085
2023-10-03,1.467063829787234
2023-10-04,1.4388510638297871
2023-10-05,1.4482553191489362
2023-10-06,1.448255319148936
